user,create,delete,modify,total_edits
hazelc,0.0,1.0,0.0,1.0
karitotp,0.0,0.0,1.0,1.0
lks1,0.0,0.0,1.0,1.0
Dymryk,0.0,1.0,0.0,1.0
mackerski,0.0,1.0,0.0,1.0
SKald,0.0,1.0,0.0,1.0
RichRico,0.0,0.0,1.0,1.0
roaven,0.0,0.0,1.0,1.0
Barthwo,0.0,1.0,0.0,1.0
sarelsam,0.0,1.0,0.0,1.0
Creando,0.0,1.0,0.0,1.0
