,user,create,delete,modify,total_edits,type,last_30days
108,tshedy,406376.0,1560.0,36864.0,444800.0,modify,28089.0
106,tshedy,406376.0,1560.0,36864.0,444800.0,create,291235.0
107,tshedy,406376.0,1560.0,36864.0,444800.0,delete,1292.0
38,Mpaleng Oliphant,270187.0,4321.0,49870.0,324378.0,modify,36623.0
37,Mpaleng Oliphant,270187.0,4321.0,49870.0,324378.0,delete,4112.0
36,Mpaleng Oliphant,270187.0,4321.0,49870.0,324378.0,create,211300.0
87,ntebo,317083.0,2169.0,1340.0,320592.0,delete,1939.0
88,ntebo,317083.0,2169.0,1340.0,320592.0,modify,1336.0
86,ntebo,317083.0,2169.0,1340.0,320592.0,create,307262.0
24,Lineo,290918.0,4281.0,12587.0,307786.0,modify,10971.0
23,Lineo,290918.0,4281.0,12587.0,307786.0,delete,3814.0
22,Lineo,290918.0,4281.0,12587.0,307786.0,create,270667.0
7,Fifi1984,239050.0,6187.0,41409.0,286646.0,modify,38955.0
5,Fifi1984,239050.0,6187.0,41409.0,286646.0,create,220233.0
6,Fifi1984,239050.0,6187.0,41409.0,286646.0,delete,6034.0
70,manobby,222009.0,6945.0,655.0,229609.0,delete,6937.0
